Keyword,int,1
IDENTIFIER,b,1
AssignmentOperator,=,1
INT_LITERAL,5,1
ArithmeticOperator,+,1
INT_LITERAL,3,1
ArithmeticOperator,*,1
Delimiter,(,1
INT_LITERAL,2,1
ArithmeticOperator,^,1
INT_LITERAL,2,1
Delimiter,),1
Delimiter,;,1
IDENTIFIER,midtermScore,2
AssignmentOperator,=,2
IDENTIFIER,exam,2
AssignmentOperator,=,2
IDENTIFIER,deptals,2
AssignmentOperator,=,2
INT_LITERAL,2,2
ArithmeticOperator,*,2
Delimiter,(,2
INT_LITERAL,3,2
ArithmeticOperator,+,2
INT_LITERAL,1,2
Delimiter,),2
Delimiter,;,2
IDENTIFIER,result,3
AssignmentOperator,=,3
Delimiter,(,3
INT_LITERAL,5,3
ArithmeticOperator,+,3
INT_LITERAL,3,3
Delimiter,),3
ArithmeticOperator,*,3
Delimiter,(,3
INT_LITERAL,2,3
ArithmeticOperator,+,3
INT_LITERAL,2,3
Delimiter,),3
Delimiter,;,3
